s9	192.168.45.69	35.173.242.186	i-0c0b5ae48d9d1947e
s10	192.168.45.70	54.173.243.120	i-001287afcd0131aeb
s11	192.168.45.71	3.95.8.148	i-0337273c048b3c5f2
